Outlet,Produk_BestSeller,produk_id,sampling_index,lat,lon,Rating_global_produk,Jumlah_ulasan,outlet_id
Sociolla X Tenth Avenue,Wonder Crush Serum Liquid Blush,97191,5,-6.946621242,107.6409111,4.8,1402,SOC_BDG_07
Sociolla X Tenth Avenue,Superstay Vinyl Ink Tint,87877,7,-6.946621242,107.6409111,4.7,5512,SOC_BDG_07
Sociolla X Tenth Avenue,Microblur Translucent Loose Powder,63842,3,-6.946621242,107.6409111,4.7,4946,SOC_BDG_07
Sociolla X Tenth Avenue,Powerstay Transferproof Matte Lip Cream,122376,0,-6.946621242,107.6409111,4.7,2295,SOC_BDG_07
Sephora Summarecon Mall Bandung,Yves Saint Laurent Touche Éclat Glow-Pact Cushion,indonesia-31341-45977,0,-6.955033396,107.6985416,5,22,SEP_BDG_01
Sephora Summarecon Mall Bandung,LANEIGE Glaze Craze Tinted Lip Serum,default-104081-274480,0,-6.955033396,107.6985416,4.6,1297,SEP_BDG_01
Sephora Summarecon Mall Bandung,FRES Kombuca Facial Treatment Essence,default-14461-248366,0,-6.955033396,107.6985416,4.7,2335,SEP_BDG_01
Sephora Summarecon Mall Bandung,BOBBI BROWN Vitamin Enriche Face Base,default-17910-201263,0,-6.955033396,107.6985416,4.7,1331,SEP_BDG_01
Sephora Summarecon Mall Bandung,DIOR Backstage Rosy Glow Blush,default-104954-274711,0,-6.955033396,107.6985416,4.6,314,SEP_BDG_01
Sephora Summarecon Mall Bandung,NATASHA DENONA Eye Sculpt Eyeshadow Palette,indonesia-103734-52814,0,-6.955033396,107.6985416,4.8,250,SEP_BDG_01
Sephora Summarecon Mall Bandung,SOL DE JANEIRO Body Badalada Vitamin-Infused Lotion,indonesia-102952-51451,0,-6.955033396,107.6985416,4.9,1038,SEP_BDG_01
Sephora Paris Van Java,HUDA Beauty Easy Bake Loose Powder,default-105295-278187,0,-6.887891584,107.5958305,4.8,8018,SEP_BDG_02
Sephora Paris Van Java,RARE Beauty Soft Pinch Liquid Blush,default-31326-251201,0,-6.887891584,107.5958305,4.7,23347,SEP_BDG_02
Sephora Paris Van Java,BILLIE ELISH Eilish Eau De Parfum,default-39315-246985,0,-6.887891584,107.5958305,4.8,1110,SEP_BDG_02
Sephora Paris Van Java,BOBBI BROWN Vitamin Enriche Face Base,default-17910-201263,1,-6.887891584,107.5958305,4.7,1331,SEP_BDG_02
Sephora Paris Van Java,DIOR Backstage Rosy Glow Blush,default-104954-274711,1,-6.887891584,107.5958305,4.7,119,SEP_BDG_02
Sephora Paris Van Java,MAC COSMETICS M•A•Cximal Silky Matte Lipstick,default-48201-263199,0,-6.887891584,107.5958305,4.8,530,SEP_BDG_02
Sephora Paris Van Java,SOL DE JANEIRO Body Badalada Vitamin-Infused Lotion,indonesia-102952-51451,1,-6.887891584,107.5958305,4.9,1038,SEP_BDG_02
Sephora 23 Paskal,Yves Saint Laurent Touche Éclat Glow-Pact Cushion,indonesia-31341-45977,1,-6.91460502,107.5958065,5,22,SEP_BDG_03
Sephora 23 Paskal,LANEIGE Glaze Craze Tinted Lip Serum,default-104081-274480,1,-6.91460502,107.5958065,4.6,1297,SEP_BDG_03
Sephora 23 Paskal,BILLIE ELISH Eilish Eau De Parfum,default-39315-246985,1,-6.91460502,107.5958065,4.8,1110,SEP_BDG_03
Sephora 23 Paskal,DIOR Backstage Rosy Glow Blush,default-104954-274711,2,-6.91460502,107.5958065,4.6,314,SEP_BDG_03
Sephora 23 Paskal,NATASHA DENONA Eye Sculpt Eyeshadow Palette,indonesia-103734-52814,1,-6.91460502,107.5958065,4.8,250,SEP_BDG_03
Sephora 23 Paskal,MAC COSMETICS M•A•Cximal Silky Matte Lipstick,default-48201-263199,1,-6.91460502,107.5958065,4.8,530,SEP_BDG_03
Sephora 23 Paskal,SOL DE JANEIRO Body Badalada Vitamin-Infused Lotion,indonesia-102952-51451,2,-6.91460502,107.5958065,4.9,1038,SEP_BDG_03
